0Replay_id,Cluster
4-2-1-62848-5-2018-03-10T22-25-32-1144,0
4-2-2-63454-5-2018-03-30T18-11-37-258,0
4-2-2-63454-5-2018-03-30T18-12-41-292,0
4-2-1-62848-6-2018-03-09T15-57-03-422,0
4-2-1-62848-5-2018-03-10T22-32-02-318,0
4-2-2-63454-5-2018-03-30T18-17-34-330,0
4-2-1-62848-6-2018-03-09T16-15-35-383,0
4-2-1-62848-4-2018-03-08T02-00-15-318,0
4-2-2-63454-5-2018-03-30T18-25-16-320,0
4-2-1-62848-6-2018-03-09T16-21-05-297,0
4-2-1-62848-5-2018-03-10T22-34-55-732,0
4-2-2-63454-5-2018-03-30T18-36-48-229,2
4-2-1-62848-5-2018-03-10T22-36-09-292,0
4-2-2-63454-5-2018-03-30T18-46-09-1064,0
4-2-1-62848-6-2018-03-09T16-29-03-1385,0
4-2-1-62848-5-2018-03-10T23-12-20-1219,0
4-2-2-63454-5-2018-03-31T00-24-09-393,0
4-2-1-62848-4-2018-03-08T02-14-33-420,0
4-2-1-62848-5-2018-03-11T00-17-42-517,0
4-2-1-62848-6-2018-03-10T00-59-13-526,1
4-2-1-62848-4-2018-03-08T02-28-23-377,0
4-2-2-63454-5-2018-03-31T00-26-03-615,0
4-2-1-62848-5-2018-03-11T00-21-15-500,0
4-2-1-62848-4-2018-03-08T02-51-22-391,0
4-2-1-62848-6-2018-03-10T01-54-48-393,0
4-2-1-62848-4-2018-03-08T03-07-04-330,0
4-2-1-62848-6-2018-03-10T03-12-53-703,0
4-2-2-63454-5-2018-03-31T00-32-58-935,0
4-2-1-62848-5-2018-03-11T00-31-11-835,2
4-2-1-62848-4-2018-03-08T03-16-37-483,0
4-2-1-62848-6-2018-03-10T03-37-10-458,0
4-2-1-62848-4-2018-03-08T03-17-00-515,1
4-2-1-62848-5-2018-03-11T00-31-57-542,1
4-2-1-62848-6-2018-03-10T03-56-22-274,0
4-2-2-63454-5-2018-03-31T00-45-48-577,0
4-2-1-62848-6-2018-03-10T03-58-51-255,0
4-2-1-62848-5-2018-03-11T00-35-30-398,0
4-2-1-62848-4-2018-03-08T03-37-03-1126,0
4-2-1-62848-6-2018-03-10T04-40-25-478,0
4-2-2-63454-5-2018-03-31T00-48-05-569,0
4-2-1-62848-6-2018-03-10T05-16-03-367,0
4-2-2-63454-5-2018-03-31T00-49-48-321,0
4-2-2-63454-5-2018-03-31T00-54-47-345,2
4-2-1-62848-4-2018-03-08T04-01-06-310,0
4-2-1-62848-6-2018-03-10T05-34-37-521,0
4-2-1-62848-5-2018-03-11T00-43-46-1111,0
4-2-2-63454-5-2018-03-31T00-55-19-362,0
4-2-1-62848-4-2018-03-08T04-02-33-461,0
4-2-1-62848-6-2018-03-10T05-35-25-423,2
4-2-1-62848-4-2018-03-08T04-10-34-359,1
4-2-1-62848-6-2018-03-10T05-49-09-876,0
4-2-2-63454-5-2018-03-31T01-03-23-1023,0
4-2-1-62848-5-2018-03-11T00-44-42-1050,0
4-2-1-62848-4-2018-03-08T04-37-32-328,0
4-2-1-62848-6-2018-03-10T05-53-27-519,2
4-2-2-63454-5-2018-03-31T01-15-05-710,1
4-2-1-62848-6-2018-03-10T06-27-53-624,0
4-2-1-62848-5-2018-03-11T01-06-09-899,0
4-2-1-62848-6-2018-03-10T07-12-50-554,0
4-2-2-63454-5-2018-03-31T01-36-57-312,0
4-2-1-62848-5-2018-03-11T01-13-30-340,0
4-2-2-63454-5-2018-03-31T01-41-27-653,0
4-2-1-62848-4-2018-03-08T05-51-41-329,0
4-2-2-63454-5-2018-03-31T08-14-36-487,1
4-2-1-62848-6-2018-03-10T15-36-42-604,0
4-2-1-62848-5-2018-03-11T02-39-55-877,0
4-2-1-62848-6-2018-03-10T15-56-47-488,0
4-2-2-63454-5-2018-03-31T08-40-19-794,0
4-2-1-62848-6-2018-03-10T16-23-55-765,0
4-2-1-62848-5-2018-03-11T03-03-39-601,0
4-2-1-62848-4-2018-03-08T06-33-44-698,0
4-2-2-63454-5-2018-03-31T08-45-41-723,0
4-2-1-62848-5-2018-03-11T03-20-35-585,0
4-2-1-62848-6-2018-03-10T16-37-41-395,2
4-2-1-62848-5-2018-03-11T03-22-34-277,1
4-2-1-62848-6-2018-03-10T17-33-57-250,0
4-2-2-63454-5-2018-03-31T08-57-03-1263,0
4-2-1-62848-5-2018-03-11T03-23-02-717,0
4-2-2-63454-5-2018-03-31T11-43-03-291,0
4-2-1-62848-5-2018-03-11T03-43-55-419,0
4-2-1-62848-4-2018-03-08T07-10-56-361,0
4-2-1-62848-6-2018-03-10T23-29-51-667,0
4-2-1-62848-4-2018-03-08T07-17-33-353,0
4-2-1-62848-5-2018-03-11T04-10-18-442,0
4-2-1-62848-6-2018-03-11T00-47-47-563,0
4-2-1-62848-5-2018-03-11T04-23-56-301,0
4-2-1-62848-4-2018-03-08T07-17-56-778,1
4-2-2-63454-5-2018-03-31T11-49-13-475,0
4-2-1-62848-6-2018-03-11T00-53-00-461,0
4-2-1-62848-4-2018-03-08T07-20-03-338,2
4-2-2-63454-5-2018-03-31T11-56-34-338,0
4-2-1-62848-6-2018-03-11T01-01-19-250,2
4-2-1-62848-5-2018-03-11T05-11-59-619,0
4-2-1-62848-4-2018-03-08T07-20-41-578,0
4-2-1-62848-6-2018-03-11T03-17-42-436,0
4-2-2-63454-5-2018-03-31T11-59-00-847,0
4-2-1-62848-5-2018-03-11T05-48-19-391,0
4-2-1-62848-6-2018-03-11T03-38-02-539,0
4-2-1-62848-4-2018-03-08T07-28-48-725,0
4-2-2-63454-5-2018-03-31T12-04-35-397,0
4-2-1-62848-6-2018-03-11T03-49-39-334,0
4-2-1-62848-5-2018-03-11T06-23-24-795,0
4-2-1-62848-4-2018-03-08T08-01-05-431,2
4-2-2-63454-5-2018-03-31T12-17-13-340,0
4-2-1-62848-6-2018-03-11T03-58-26-363,0
4-2-1-62848-4-2018-03-08T08-03-27-469,1
4-2-2-63454-5-2018-03-31T12-19-42-498,2
4-2-1-62848-4-2018-03-08T08-06-06-320,0
4-2-1-62848-5-2018-03-11T06-26-19-803,0
4-2-1-62848-6-2018-03-11T05-26-17-891,0
4-2-2-63454-5-2018-03-31T12-24-42-810,0
4-2-1-62848-5-2018-03-11T06-34-57-439,2
4-2-1-62848-5-2018-03-11T06-41-03-471,0
4-2-1-62848-6-2018-03-11T05-28-02-643,0
4-2-2-63454-5-2018-03-31T12-27-46-1041,1
4-2-1-62848-5-2018-03-11T06-41-08-582,0
4-2-1-62848-6-2018-03-11T15-52-10-343,0
4-2-1-62848-4-2018-03-08T08-20-40-375,0
4-2-1-62848-5-2018-03-11T08-05-41-469,1
4-2-2-63454-5-2018-03-31T16-13-22-531,1
4-2-1-62848-4-2018-03-08T08-28-24-422,2
4-2-1-62848-6-2018-03-11T17-07-12-385,0
4-2-1-62848-5-2018-03-11T08-09-02-855,0
4-2-2-63454-5-2018-03-31T16-14-17-317,0
4-2-1-62848-6-2018-03-11T18-04-26-254,0
4-2-2-63454-5-2018-03-31T16-18-39-282,0
4-2-1-62848-4-2018-03-08T08-28-45-630,0
4-2-1-62848-5-2018-03-11T08-29-07-611,0
4-2-1-62848-6-2018-03-11T18-05-00-620,0
4-2-2-63454-5-2018-03-31T16-23-05-774,1
4-2-1-62848-5-2018-03-11T08-35-17-427,0
4-2-1-62848-4-2018-03-08T08-38-09-965,0
4-2-1-62848-6-2018-03-11T18-19-30-549,0
4-2-2-63454-5-2018-03-31T16-27-57-450,0
4-2-1-62848-5-2018-03-11T08-45-36-358,0
4-2-1-62848-6-2018-03-11T18-34-59-397,0
4-2-2-63454-5-2018-03-31T16-37-23-413,0
4-2-1-62848-4-2018-03-08T08-39-02-333,0
4-2-1-62848-5-2018-03-11T09-36-37-392,0
4-2-2-63454-5-2018-03-31T16-38-03-357,0
4-2-1-62848-6-2018-03-11T18-53-37-631,0
4-2-1-62848-5-2018-03-11T09-40-59-556,0
4-2-2-63454-5-2018-03-31T16-40-57-442,0
4-2-1-62848-4-2018-03-08T09-35-40-639,2
4-2-1-62848-5-2018-03-11T10-01-33-419,0
4-2-1-62848-6-2018-03-11T18-55-01-301,0
4-2-2-63454-5-2018-03-31T16-48-37-413,0
4-2-1-62848-6-2018-03-11T19-23-36-787,0
4-2-1-62848-5-2018-03-11T10-02-40-741,0
4-2-2-63454-5-2018-03-31T17-22-20-452,0
4-2-1-62848-4-2018-03-08T09-40-19-643,0
4-2-2-63454-5-2018-03-31T17-36-25-435,0
4-2-1-62848-5-2018-03-11T10-17-22-615,2
4-2-1-62848-6-2018-03-11T19-39-49-721,0
4-2-1-62848-4-2018-03-08T09-40-45-620,0
4-2-2-63454-5-2018-03-31T17-39-58-613,0
4-2-1-62848-5-2018-03-11T10-18-34-377,0
4-2-1-62848-5-2018-03-11T10-40-38-345,0
4-2-2-63454-5-2018-03-31T17-55-40-671,0
4-2-1-62848-4-2018-03-08T10-22-37-1045,2
4-2-1-62848-6-2018-03-11T20-48-25-905,0
4-2-1-62848-5-2018-03-11T11-27-45-337,0
