,0Frame_id,0P1_mmr,0P2_mmr,0Replay_id,P1_Supply_army,P1_Supply_total,P1_Supply_used,P1_Supply_workers,P1_Unit_Assimilator,P1_Unit_Forge,P1_Unit_Gateway,P1_Unit_Nexus,P1_Unit_Probe,P1_Unit_Pylon,P1_minerals,P1_vespene,P2_Supply_army,P2_Supply_total,P2_Supply_used,P2_Supply_workers,P2_Unit_Assimilator,P2_Unit_Forge,P2_Unit_Gateway,P2_Unit_Nexus,P2_Unit_PhotonCannon,P2_Unit_Probe,P2_Unit_Pylon,P2_minerals,P2_vespene
64,1440.0,3986.0,4009.0,4-2-2-63454-5-2018-03-28T21-56-35-582,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,120.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,90.0,0.0
65,1440.0,3933.0,3869.0,4-2-1-62848-5-2018-03-09T20-02-08-556,0.0,23.0,19.0,18.0,2.0,0.0,1.0,1.0,18.0,1.0,75.0,0.0,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,0.0,16.0,1.0,190.0,0.0
66,1440.0,3146.0,0.0,4-2-1-62848-4-2018-03-07T02-38-10-392,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,185.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,65.0,0.0
67,1440.0,4389.0,4603.0,4-2-2-63454-5-2018-03-28T21-56-51-472,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,110.0,0.0,0.0,23.0,19.0,18.0,1.0,0.0,1.0,1.0,0.0,18.0,1.0,160.0,0.0
68,1440.0,4303.0,4508.0,4-2-1-62848-5-2018-03-09T20-07-20-625,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,160.0,0.0,0.0,23.0,19.0,18.0,2.0,0.0,1.0,1.0,0.0,18.0,1.0,85.0,0.0
69,1440.0,3365.0,3469.0,4-2-1-62848-4-2018-03-07T02-51-20-577,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,120.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,105.0,0.0
70,1440.0,4958.0,4401.0,4-2-1-62848-5-2018-03-27T11-51-38-258,0.0,23.0,15.0,14.0,0.0,0.0,0.0,2.0,14.0,1.0,80.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,140.0,0.0
71,1440.0,3827.0,3804.0,4-2-1-62848-5-2018-03-09T21-08-45-609,0.0,23.0,19.0,18.0,0.0,0.0,1.0,1.0,18.0,1.0,100.0,0.0,0.0,23.0,17.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,110.0,0.0
72,1440.0,3776.0,3754.0,4-2-2-63454-5-2018-03-29T01-16-47-600,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,16.0,1.0,135.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,90.0,0.0
73,1440.0,3486.0,0.0,4-2-1-62848-4-2018-03-07T02-51-46-780,0.0,23.0,19.0,18.0,0.0,0.0,0.0,1.0,18.0,1.0,350.0,0.0,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,0.0,16.0,1.0,165.0,0.0
74,1440.0,4426.0,4958.0,4-2-1-62848-5-2018-03-27T11-58-32-357,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,16.0,1.0,240.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,130.0,0.0
75,1440.0,3775.0,3789.0,4-2-1-62848-5-2018-03-09T22-04-06-328,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,16.0,1.0,80.0,0.0,0.0,23.0,18.0,17.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,270.0,0.0
76,1440.0,3572.0,3614.0,4-2-1-62848-5-2018-03-27T12-01-09-444,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,16.0,1.0,150.0,0.0,0.0,23.0,16.0,15.0,1.0,0.0,2.0,1.0,0.0,14.0,1.0,70.0,20.0
77,1440.0,3560.0,3594.0,4-2-2-63454-5-2018-03-29T01-20-26-719,0.0,23.0,16.0,15.0,1.0,0.0,2.0,1.0,15.0,1.0,55.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,110.0,0.0
78,1440.0,3493.0,3508.0,4-2-1-62848-4-2018-03-07T03-18-29-609,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,95.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,70.0,0.0
79,1440.0,3676.0,3686.0,4-2-1-62848-5-2018-03-09T22-27-35-303,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,125.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,75.0,0.0
80,1440.0,4956.0,4669.0,4-2-1-62848-5-2018-03-27T12-02-58-282,0.0,23.0,19.0,18.0,2.0,0.0,1.0,1.0,18.0,1.0,75.0,0.0,0.0,23.0,17.0,17.0,0.0,1.0,0.0,1.0,0.0,17.0,2.0,195.0,0.0
81,1440.0,3559.0,3525.0,4-2-1-62848-5-2018-03-09T22-40-35-201,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,55.0,0.0,0.0,23.0,15.0,15.0,0.0,1.0,0.0,1.0,0.0,15.0,2.0,220.0,0.0
82,1440.0,3612.0,3612.0,4-2-1-62848-4-2018-03-07T03-40-06-280,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,115.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,15.0,1.0,155.0,8.0
83,1440.0,3568.0,3300.0,4-2-2-63454-5-2018-03-29T01-22-30-881,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,65.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,165.0,0.0
84,1440.0,3731.0,3790.0,4-2-1-62848-5-2018-03-09T22-55-45-332,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,16.0,1.0,95.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,155.0,0.0
