,720,1440,2160,2880,3600,4320,5040,5760,6480,7200,7920,8640,9360,10080,10800,Names
4-3-2-65384-4-2018-06-16T20-39-24-1337,14.0,17.0,18.0,20.0,23.0,24.0,26.0,26.0,27.0,29.0,30.0,34.0,39.0,38.0,46.0,1
4-2-2-63454-4-2018-04-03T03-48-18-944,13.0,15.0,17.0,20.0,22.0,25.0,32.0,37.0,42.0,44.0,46.0,48.0,50.0,52.0,52.0,2
4-2-1-62848-4-2018-03-27T16-26-40-1401,14.0,15.0,18.0,19.0,21.0,23.0,24.0,19.0,17.0,16.0,17.0,18.0,18.0,20.0,19.0,2
4-3-2-65384-6-2018-06-12T12-02-23-816,14.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,20.0,24.0,22.0,23.0,23.0,22.0,2
4-3-2-65384-4-2018-06-17T03-53-17-1120,14.0,16.0,19.0,21.0,21.0,25.0,24.0,23.0,21.0,26.0,27.0,31.0,31.0,32.0,34.0,3
4-2-2-63454-4-2018-04-03T11-50-45-1023,14.0,17.0,18.0,20.0,23.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,25.0,27.0,28.0,4
4-3-2-65384-4-2018-06-17T04-27-33-1028,14.0,17.0,17.0,18.0,21.0,21.0,27.0,20.0,21.0,15.0,18.0,24.0,28.0,32.0,37.0,4
4-2-2-63454-4-2018-04-03T12-15-04-838,14.0,16.0,19.0,19.0,20.0,24.0,24.0,31.0,34.0,35.0,37.0,39.0,45.0,47.0,50.0,4
4-3-2-65384-6-2018-06-12T15-05-18-860,14.0,17.0,19.0,20.0,22.0,22.0,21.0,20.0,24.0,24.0,31.0,35.0,34.0,36.0,39.0,1
4-3-2-65384-4-2018-06-17T04-32-38-886,14.0,17.0,19.0,22.0,25.0,25.0,28.0,33.0,35.0,39.0,36.0,36.0,36.0,37.0,37.0,3
4-2-1-62848-4-2018-03-27T18-37-26-1172,14.0,17.0,18.0,18.0,20.0,19.0,24.0,27.0,31.0,33.0,36.0,40.0,43.0,45.0,45.0,1
4-3-2-65384-4-2018-06-17T05-15-20-1862,13.0,16.0,19.0,21.0,22.0,21.0,22.0,23.0,25.0,26.0,28.0,36.0,35.0,39.0,40.0,2
4-3-2-65384-4-2018-06-17T13-31-49-1416,14.0,17.0,20.0,21.0,23.0,24.0,28.0,30.0,24.0,18.0,24.0,30.0,33.0,31.0,37.0,3
4-3-2-65384-6-2018-06-13T11-08-32-1376,14.0,18.0,19.0,21.0,21.0,22.0,22.0,22.0,22.0,24.0,28.0,35.0,36.0,37.0,39.0,1
4-2-1-62848-5-2018-03-06T21-57-24-1183,14.0,18.0,18.0,21.0,22.0,22.0,24.0,27.0,33.0,37.0,40.0,40.0,39.0,43.0,49.0,2
4-2-2-63454-4-2018-04-03T21-23-47-1276,14.0,16.0,18.0,19.0,19.0,7.0,6.0,8.0,11.0,12.0,16.0,18.0,21.0,22.0,25.0,3
4-3-2-65384-6-2018-06-13T14-46-18-1772,14.0,18.0,19.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,25.0,1
4-3-2-65384-4-2018-06-17T15-41-45-1018,14.0,17.0,18.0,19.0,20.0,20.0,22.0,26.0,28.0,32.0,33.0,36.0,38.0,44.0,47.0,3
4-2-1-62848-5-2018-03-06T23-15-33-989,14.0,17.0,17.0,19.0,22.0,23.0,26.0,28.0,31.0,33.0,37.0,35.0,39.0,43.0,42.0,4
4-3-2-65384-4-2018-06-18T02-20-03-911,15.0,16.0,19.0,20.0,22.0,22.0,22.0,22.0,28.0,34.0,34.0,26.0,30.0,31.0,31.0,1
